"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:15:12.051013,72,56,0,58,11,4.297786285894102,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:12.395974,72,56,0,58,11,4.297786285894102,3,4,29,17.25,0,0,69,1,0:00:00.344961,1,0"
"2021-03-30 01:15:12.440341,72,56,0,61,8,4.357017709595357,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:12.673170,72,56,0,61,8,4.357017709595357,3,4,29,17.25,0,0,69,1,0:00:00.232829,1,0"
"2021-03-30 01:15:12.705031,72,56,0,63,6,4.15070169609156,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:13.036831,72,56,0,63,6,4.15070169609156,3,4,29,17.25,0,0,69,1,0:00:00.331800,1,0"
"2021-03-30 01:15:13.080860,72,56,0,62,7,4.29698272463063,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:13.392581,72,56,0,62,7,4.29698272463063,3,4,29,17.25,0,0,69,1,0:00:00.311721,1,0"
"2021-03-30 01:15:13.440364,72,56,0,60,9,4.336048612313038,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:13.612118,72,56,0,60,9,4.336048612313038,3,4,29,17.25,0,0,69,1,0:00:00.171754,1,0"
"2021-03-30 01:15:13.659152,72,56,0,62,7,4.249756953860753,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:13.903372,72,56,0,62,7,4.249756953860753,3,4,29,17.25,0,0,69,1,0:00:00.244220,1,0"
"2021-03-30 01:15:13.925573,72,56,0,62,7,4.4259301206743,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:14.267203,72,56,0,62,7,4.4259301206743,3,4,29,17.25,0,0,69,1,0:00:00.341630,1,0"
"2021-03-30 01:15:14.299783,72,56,0,62,7,4.43273880116976,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:14.493590,72,56,0,62,7,4.43273880116976,3,4,29,17.25,0,0,69,1,0:00:00.193807,1,0"
"2021-03-30 01:15:14.519982,72,56,0,61,8,4.311501912930862,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:14.817163,72,56,0,61,8,4.311501912930862,3,4,29,17.25,0,0,69,1,0:00:00.297181,1,0"
"2021-03-30 01:15:14.847498,72,56,0,61,8,4.15070169609156,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:15.147681,72,56,0,61,8,4.15070169609156,3,4,29,17.25,0,0,69,1,0:00:00.300183,1,0"
"2021-03-30 01:15:15.191537,72,56,0,63,6,4.322790022835493,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:15.367528,72,56,0,63,6,4.322790022835493,3,4,29,17.25,0,0,69,1,0:00:00.175991,1,0"
"2021-03-30 01:15:15.393954,72,56,0,64,5,4.25616623998323,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:15.876829,72,56,0,64,5,4.25616623998323,3,4,29,17.25,0,0,69,1,0:00:00.482875,1,0"
"2021-03-30 01:15:15.909617,72,56,0,59,10,4.394476474750823,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:16.205658,72,56,0,59,10,4.394476474750823,3,4,29,17.25,0,0,69,1,0:00:00.296041,1,0"
"2021-03-30 01:15:16.236992,185,58,0,157,21,4.838318505812618,7,8,34,22.25,0,0,178,1,0,0,0"
